[["1:1","Ἀποκάλυψις","N- ----NSF-","ἀποκάλυψις"],
["7:11","καὶ","C- --------","καί"],
["7:11","τῶν","RA ----GPN-","ὁ"],
["7:11","τεσσάρων","A- ----GPN-","τέσσαρες"],
["7:11","ζῴων,","N- ----GPN-","ζῷον"],
["7:11","καὶ","C- --------","καί"],
["7:11","ἔπεσαν","V- 3AAI-P--","πίπτω"],
["7:11","ἐνώπιον","P- --------","ἐνώπιον"],
["7:11","τοῦ","RA ----GSM-","ὁ"],
["7:11","θρόνου","N- ----GSM-","θρόνος"],
["7:11","ἐπὶ","P- --------","ἐπί"],
["7:11","τὰ","RA ----APN-","ὁ"],
["7:11","πρόσωπα","N- ----APN-","πρόσωπον"],
["7:11","αὐτῶν","RP ----GPM-","αὐτός"],
["7:11","καὶ","C- --------","καί"],
["7:11","προσεκύνησαν","V- 3AAI-P--","προσκυνέω"],
["7:11","τῷ","RA ----DSM-","ὁ"],
["7:11","θεῷ,","N- ----DSM-","θεός"],
["7:12","λέγοντες·","V- -PAPNPM-","λέγω"],
["7:12","Ἀμήν·","X- --------","ἀμήν"],
["7:12","ἡ","RA ----NSF-","ὁ"],
["7:12","εὐλογία","N- ----NSF-","εὐλογία"],
["7:12","καὶ","C- --------","καί"],
["7:12","ἡ","RA ----NSF-","ὁ"],
["7:12","δόξα","N- ----NSF-","δόξα"],
["7:12","καὶ","C- --------","καί"],
["7:12","ἡ","RA ----NSF-","ὁ"],
["7:12","σοφία","N- ----NSF-","σοφία"],
["7:12","καὶ","C- --------","καί"],
["7:12","ἡ","RA ----NSF-","ὁ"],
["7:12","εὐχαριστία","N- ----NSF-","εὐχαριστία"],
["7:12","καὶ","C- --------","καί"],
["7:12","ἡ","RA ----NSF-","ὁ"],
["7:12","τιμὴ","N- ----NSF-","τιμή"],
["7:12","καὶ","C- --------","καί"],
["7:12","ἡ","RA ----NSF-","ὁ"],
["7:12","δύναμις","N- ----NSF-","δύναμις"],
["7:12","καὶ","C- --------","καί"],
["7:12","ἡ","RA ----NSF-","ὁ"],
["7:12","ἰσχὺς","N- ----NSF-","ἰσχύς"],
["7:12","τῷ","RA ----DSM-","ὁ"],
["7:12","θεῷ","N- ----DSM-","θεός"],
["7:12","ἡμῶν","RP ----GP--","ἐγώ"],
["7:12","εἰς","P- --------","εἰς"],
["7:12","τοὺς","RA ----APM-","ὁ"],
["7:12","αἰῶνας","N- ----APM-","αἰών"],
["7:12","τῶν","RA ----GPM-","ὁ"],
["7:12","αἰώνων·","N- ----GPM-","αἰών"],
["7:12","ἀμήν.","X- --------","ἀμήν"],
["7:13","Καὶ","C- --------","καί"],
["7:13","ἀπεκρίθη","V- 3API-S--","ἀποκρίνομαι"],
["7:13","εἷς","A- ----NSM-","εἷς"],
["7:13","ἐκ","P- --------","ἐκ"],
["7:13","τῶν","RA ----GPM-","ὁ"],
["7:13","πρεσβυτέρων","A- ----GPM-","πρεσβύτερος"],
["7:13","λέγων","V- -PAPNSM-","λέγω"],
["7:13","μοι·","RP ----DS--","ἐγώ"],
["7:13","Οὗτοι","RD ----NPM-","οὗτος"],
["7:13","οἱ","RA ----NPM-","ὁ"],
["7:13","περιβεβλημένοι","V- -XMPNPM-","περιβάλλω"],
["7:13","τὰς","RA ----APF-","ὁ"],
["7:13","στολὰς","N- ----APF-","στολή"],
["7:13","τὰς","RA ----APF-","ὁ"],
["7:13","λευκὰς","A- ----APF-","λευκός"],
["7:13","τίνες","RI ----NPM-","τίς"],
["7:13","εἰσὶν","V- 3PAI-P--","εἰμί"],
["7:13","καὶ","C- --------","καί"],
["7:13","πόθεν","D- --------","πόθεν"],
["7:13","ἦλθον;","V- 3AAI-P--","ἔρχομαι"],
["7:14","καὶ","C- --------","καί"],
["7:14","⸀εἴρηκα","V- 1XAI-S--","λέγω"],
["7:14","αὐτῷ·","RP ----DSM-","αὐτός"],
["7:14","Κύριέ","N- ----VSM-","κύριος"],
["7:14","μου,","RP ----GS--","ἐγώ"],
["7:14","σὺ","RP ----NS--","σύ"],
["7:14","οἶδας.","V- 2XAI-S--","οἶδα"],
["7:14","καὶ","C- --------","καί"],
["7:14","εἶπέν","V- 3AAI-S--","λέγω"],
["7:14","μοι·","RP ----DS--","ἐγώ"],
["7:14","Οὗτοί","RD ----NPM-","οὗτος"],
["7:14","εἰσιν","V- 3PAI-P--","εἰμί"],
["7:14","οἱ","RA ----NPM-","ὁ"],
["7:14","ἐρχόμενοι","V- -PMPNPM-","ἔρχομαι"],
["7:14","ἐκ","P- --------","ἐκ"],
["7:14","τῆς","RA ----GSF-","ὁ"],
["7:14","θλίψεως","N- ----GSF-","θλῖψις"],
["7:14","τῆς","RA ----GSF-","ὁ"],
["7:14","μεγάλης,","A- ----GSF-","μέγας"],
["7:14","καὶ","C- --------","καί"],
["7:14","ἔπλυναν","V- 3AAI-P--","πλύνω"],
["7:14","τὰς","RA ----APF-","ὁ"],
["7:14","στολὰς","N- ----APF-","στολή"],
["7:14","αὐτῶν","RP ----GPM-","αὐτός"],
["7:14","καὶ","C- --------","καί"],
["7:14","ἐλεύκαναν","V- 3AAI-P--","λευκαίνω"],
["7:14","⸀αὐτὰς","RP ----APF-","αὐτός"],
["7:14","ἐν","P- --------","ἐν"],
["7:14","τῷ","RA ----DSN-","ὁ"],
["7:14","αἵματι","N- ----DSN-","αἷμα"],
["7:14","τοῦ","RA ----GSN-","ὁ"],
["7:14","ἀρνίου.","N- ----GSN-","ἀρνίον"],
["7:15","διὰ","P- --------","διά"],
["7:15","τοῦτό","RD ----ASN-","οὗτος"],
["7:15","εἰσιν","V- 3PAI-P--","εἰμί"],
["7:15","ἐνώπιον","P- --------","ἐνώπιον"],
["7:15","τοῦ","RA ----GSM-","ὁ"],
["7:15","θρόνου","N- ----GSM-","θρόνος"],
["7:15","τοῦ","RA ----GSM-","ὁ"],
["7:15","θεοῦ,","N- ----GSM-","θεός"],
["7:15","καὶ","C- --------","καί"],
["7:15","λατρεύουσιν","V- 3PAI-P--","λατρεύω"],
["7:15","αὐτῷ","RP ----DSM-","αὐτός"],
["7:15","ἡμέρας","N- ----GSF-","ἡμέρα"],
["7:15","καὶ","C- --------","καί"],
["7:15","νυκτὸς","N- ----GSF-","νύξ"],
["7:15","ἐν","P- --------","ἐν"],
["7:15","τῷ","RA ----DSM-","ὁ"],
["7:15","ναῷ","N- ----DSM-","ναός"],
["7:15","αὐτοῦ,","RP ----GSM-","αὐτός"],
["7:15","καὶ","C- --------","καί"],
["7:15","ὁ","RA ----NSM-","ὁ"],
["7:15","καθήμενος","V- -PMPNSM-","κάθημαι"],
["7:15","ἐπὶ","P- --------","ἐπί"],
["7:15","⸂τοῦ","RA ----GSM-","ὁ"],
["7:15","θρόνου⸃","N- ----GSM-","θρόνος"],
["7:15","σκηνώσει","V- 3FAI-S--","σκηνόω"],
["7:15","ἐπ’","P- --------","ἐπί"],
["7:15","αὐτούς.","RP ----APM-","αὐτός"],
["7:16","οὐ","D- --------","οὐ"],
["7:16","πεινάσουσιν","V- 3FAI-P--","πεινάω"],
["7:16","ἔτι","D- --------","ἔτι"],
["7:16","⸀οὐδὲ","C- --------","οὐδέ"],
["7:16","διψήσουσιν","V- 3FAI-P--","διψάω"],
["7:16","ἔτι,","D- --------","ἔτι"],
["7:16","οὐδὲ","C- --------","οὐδέ"],
["7:16","μὴ","D- --------","μή"],
["7:16","πέσῃ","V- 3AAS-S--","πίπτω"],
["7:16","ἐπ’","P- --------","ἐπί"],
["7:16","αὐτοὺς","RP ----APM-","αὐτός"],
["7:16","ὁ","RA ----NSM-","ὁ"],
["7:16","ἥλιος","N- ----NSM-","ἥλιος"],
["7:16","οὐδὲ","C- --------","οὐδέ"],
["7:16","πᾶν","A- ----NSN-","πᾶς"],
["7:16","καῦμα,","N- ----NSN-","καῦμα"],
["7:17","ὅτι","C- --------","ὅτι"],
["7:17","τὸ","RA ----NSN-","ὁ"],
["7:17","ἀρνίον","N- ----NSN-","ἀρνίον"],
["7:17","τὸ","RA ----NSN-","ὁ"],
["7:17","ἀνὰ","P- --------","ἀνά"],
["7:17","μέσον","A- ----ASN-","μέσος"],
["7:17","τοῦ","RA ----GSM-","ὁ"],
["7:17","θρόνου","N- ----GSM-","θρόνος"],
["7:17","⸀ποιμανεῖ","V- 3FAI-S--","ποιμαίνω"],
["7:17","αὐτούς,","RP ----APM-","αὐτός"],
["7:17","καὶ","C- --------","καί"],
["7:17","⸀ὁδηγήσει","V- 3FAI-S--","ὁδηγέω"],
["7:17","αὐτοὺς","RP ----APM-","αὐτός"],
["7:17","ἐπὶ","P- --------","ἐπί"],
["7:17","ζωῆς","N- ----GSF-","ζωή"],
["7:17","πηγὰς","N- ----APF-","πηγή"],
["7:17","ὑδάτων·","N- ----GPN-","ὕδωρ"],
["7:17","καὶ","C- --------","καί"],
["7:17","ἐξαλείψει","V- 3FAI-S--","ἐξαλείφω"],
["7:17","ὁ","RA ----NSM-","ὁ"],
["7:17","θεὸς","N- ----NSM-","θεός"],
["7:17","πᾶν","A- ----ASN-","πᾶς"],
["7:17","δάκρυον","N- ----ASN-","δάκρυον"],
["7:17","ἐκ","P- --------","ἐκ"],
["7:17","τῶν","RA ----GPM-","ὁ"],
["7:17","ὀφθαλμῶν","N- ----GPM-","ὀφθαλμός"],
["7:17","αὐτῶν.","RP ----GPM-","αὐτός"],
["8:1","Καὶ","C- --------","καί"],
["8:1","⸀ὅταν","C- --------","ὅταν"],
["8:1","ἤνοιξεν","V- 3AAI-S--","ἀνοίγω"],
["8:1","τὴν","RA ----ASF-","ὁ"],
["8:1","σφραγῖδα","N- ----ASF-","σφραγίς"],
["8:1","τὴν","RA ----ASF-","ὁ"],
["8:1","ἑβδόμην,","A- ----ASF-","ἕβδομος"],
["8:1","ἐγένετο","V- 3AMI-S--","γίνομαι"],
["8:1","σιγὴ","N- ----NSF-","σιγή"],
["8:1","ἐν","P- --------","ἐν"],
["8:1","τῷ","RA ----DSM-","ὁ"],
["8:1","οὐρανῷ","N- ----DSM-","οὐρανός"],
["8:1","ὡς","D- --------","ὡς"],
["8:1","ἡμιώριον.","N- ----ASN-","ἡμιώριον"],
["8:2","καὶ","C- --------","καί"],
["8:2","εἶδον","V- 1AAI-S--","ὁράω"],
["8:2","τοὺς","RA ----APM-","ὁ"],
["8:2","ἑπτὰ","A- ----APM-","ἑπτά"],
["8:2","ἀγγέλους","N- ----APM-","ἄγγελος"],
["8:2","οἳ","RR ----NPM-","ὅς"],
["8:2","ἐνώπιον","P- --------","ἐνώπιον"],
["8:2","τοῦ","RA ----GSM-","ὁ"],
["8:2","θεοῦ","N- ----GSM-","θεός"],
["8:2","ἑστήκασιν,","V- 3XAI-P--","ἵστημι"],
["8:2","καὶ","C- --------","καί"],
["8:2","ἐδόθησαν","V- 3API-P--","δίδωμι"],
["8:2","αὐτοῖς","RP ----DPM-","αὐτός"],
["8:2","ἑπτὰ","A- ----NPF-","ἑπτά"],
["8:2","σάλπιγγες.","N- ----NPF-","σάλπιγξ"],
["8:3","Καὶ","C- --------","καί"],
["8:3","ἄλλος","A- ----NSM-","ἄλλος"],
["8:3","ἄγγελος","N- ----NSM-","ἄγγελος"],
["8:3","ἦλθεν","V- 3AAI-S--","ἔρχομαι"],
["8:3","καὶ","C- --------","καί"],
["8:3","ἐστάθη","V- 3API-S--","ἵστημι"],
["8:3","ἐπὶ","P- --------","ἐπί"],
["8:3","τοῦ","RA ----GSN-","ὁ"],
["8:3","θυσιαστηρίου","N- ----GSN-","θυσιαστήριον"],
["8:3","ἔχων","V- -PAPNSM-","ἔχω"],
["8:3","λιβανωτὸν","N- ----ASM-","λιβανωτός"],
["8:3","χρυσοῦν,","A- ----ASM-","χρυσοῦς"],
["8:3","καὶ","C- --------","καί"],
["8:3","ἐδόθη","V- 3API-S--","δίδωμι"],
["8:3","αὐτῷ","RP ----DSM-","αὐτός"],
["8:3","θυμιάματα","N- ----NPN-","θυμίαμα"],
["8:3","πολλὰ","A- ----NPN-","πολύς"],
["8:3","ἵνα","C- --------","ἵνα"],
["8:3","⸀δώσει","V- 3FAI-S--","δίδωμι"],
["8:3","ταῖς","RA ----DPF-","ὁ"],
["8:3","προσευχαῖς","N- ----DPF-","προσευχή"],
["8:3","τῶν","RA ----GPM-","ὁ"],
["8:3","ἁγίων","A- ----GPM-","ἅγιος"],
["8:3","πάντων","A- ----GPM-","πᾶς"],
["8:3","ἐπὶ","P- --------","ἐπί"],
["8:3","τὸ","RA ----ASN-","ὁ"],
["8:3","θυσιαστήριον","N- ----ASN-","θυσιαστήριον"],
["8:3","τὸ","RA ----ASN-","ὁ"],
["8:3","χρυσοῦν","A- ----ASN-","χρυσοῦς"],
["8:3","τὸ","RA ----ASN-","ὁ"],
["8:3","ἐνώπιον","P- --------","ἐνώπιον"],
["8:3","τοῦ","RA ----GSM-","ὁ"],
["8:3","θρόνου.","N- ----GSM-","θρόνος"],
["8:4","καὶ","C- --------","καί"],
["8:4","ἀνέβη","V- 3AAI-S--","ἀναβαίνω"],
["8:4","ὁ","RA ----NSM-","ὁ"],
["8:4","καπνὸς","N- ----NSM-","καπνός"],
["8:4","τῶν","RA ----GPN-","ὁ"],
["8:4","θυμιαμάτων","N- ----GPN-","θυμίαμα"],
["8:4","ταῖς","RA ----DPF-","ὁ"],
["8:4","προσευχαῖς","N- ----DPF-","προσευχή"],
["8:4","τῶν","RA ----GPM-","ὁ"],
["8:4","ἁγίων","A- ----GPM-","ἅγιος"],
["8:4","ἐκ","P- --------","ἐκ"],
["8:4","χειρὸς","N- ----GSF-","χείρ"],
["8:4","τοῦ","RA ----GSM-","ὁ"],
["8:4","ἀγγέλου","N- ----GSM-","ἄγγελος"],
["8:4","ἐνώπιον","P- --------","ἐνώπιον"],
["8:4","τοῦ","RA ----GSM-","ὁ"],
["8:4","θεοῦ.","N- ----GSM-","θεός"],
["8:5","καὶ","C- --------","καί"],
["8:5","εἴληφεν","V- 3XAI-S--","λαμβάνω"],
["8:5","ὁ","RA ----NSM-","ὁ"],
["8:5","ἄγγελος","N- ----NSM-","ἄγγελος"],
["8:5","τὸν","RA ----ASM-","ὁ"],
["8:5","λιβανωτόν,","N- ----ASM-","λιβανωτός"],
["8:5","καὶ","C- --------","καί"],
["8:5","ἐγέμισεν","V- 3AAI-S--","γεμίζω"],
["8:5","αὐτὸν","RP ----ASM-","αὐτός"],
["8:5","ἐκ","P- --------","ἐκ"],
["8:5","τοῦ","RA ----GSN-","ὁ"],
["8:5","πυρὸς","N- ----GSN-","πῦρ"],
["8:5","τοῦ","RA ----GSN-","ὁ"],
["8:5","θυσιαστηρίου,","N- ----GSN-","θυσιαστήριον"],
["8:5","καὶ","C- --------","καί"],
["8:5","ἔβαλεν","V- 3AAI-S--","βάλλω"],
["8:5","εἰς","P- --------","εἰς"],
["8:5","τὴν","RA ----ASF-","ὁ"],
["8:5","γῆν·","N- ----ASF-","γῆ"],
["8:5","καὶ","C- --------","καί"],
["8:5","ἐγένοντο","V- 3AMI-P--","γίνομαι"],
["8:5","βρονταὶ","N- ----NPF-","βροντή"],
["8:5","καὶ","C- --------","καί"],
["8:5","φωναὶ","N- ----NPF-","φωνή"],
["8:5","καὶ","C- --------","καί"],
["8:5","ἀστραπαὶ","N- ----NPF-","ἀστραπή"],
["8:5","καὶ","C- --------","καί"],
["8:5","σεισμός.","N- ----NSM-","σεισμός"],
["8:6","Καὶ","C- --------","καί"],
["8:6","οἱ","RA ----NPM-","ὁ"],
["8:6","ἑπτὰ","A- ----NPM-","ἑπτά"],
["8:6","ἄγγελοι","N- ----NPM-","ἄγγελος"],
["8:6","οἱ","RA ----NPM-","ὁ"],
["8:6","ἔχοντες","V- -PAPNPM-","ἔχω"],
["8:6","τὰς","RA ----APF-","ὁ"],
["8:6","ἑπτὰ","A- ----APF-","ἑπτά"],
["8:6","σάλπιγγας","N- ----APF-","σάλπιγξ"],
["8:6","ἡτοίμασαν","V- 3AAI-P--","ἑτοιμάζω"],
["8:6","⸀αὑτοὺς","RP ----APM-","ἑαυτοῦ"],
["8:6","ἵνα","C- --------","ἵνα"],
["8:6","σαλπίσωσιν.","V- 3AAS-P--","σαλπίζω"],
["8:7","Καὶ","C- --------","καί"],
["8:7","ὁ","RA ----NSM-","ὁ"],
["8:7","πρῶτος","A- ----NSM-","πρῶτος"],
["8:7","ἐσάλπισεν·","V- 3AAI-S--","σαλπίζω"],
["8:7","καὶ","C- --------","καί"],
["8:7","ἐγένετο","V- 3AMI-S--","γίνομαι"],
["8:7","χάλαζα","N- ----NSF-","χάλαζα"],
["8:7","καὶ","C- --------","καί"],
["8:7","πῦρ","N- ----NSN-","πῦρ"],
["8:7","μεμιγμένα","V- -XPPNPN-","μίγνυμι"],
["8:7","ἐν","P- --------","ἐν"],
["8:7","αἵματι,","N- ----DSN-","αἷμα"],
["8:7","καὶ","C- --------","καί"],
["8:7","ἐβλήθη","V- 3API-S--","βάλλω"],
["8:7","εἰς","P- --------","εἰς"],
["8:7","τὴν","RA ----ASF-","ὁ"],
["8:7","γῆν·","N- ----ASF-","γῆ"],
["8:7","καὶ","C- --------","καί"],
["8:7","τὸ","RA ----NSN-","ὁ"],
["8:7","τρίτον","A- ----NSN-","τρίτος"],
["8:7","τῆς","RA ----GSF-","ὁ"],
["8:7","γῆς","N- ----GSF-","γῆ"],
["8:7","κατεκάη,","V- 3API-S--","κατακαίω"],
["8:7","καὶ","C- --------","καί"],
["8:7","τὸ","RA ----NSN-","ὁ"],
["8:7","τρίτον","A- ----NSN-","τρίτος"],
["8:7","τῶν","RA ----GPN-","ὁ"],
["8:7","δένδρων","N- ----GPN-","δένδρον"],
["8:7","κατεκάη,","V- 3API-S--","κατακαίω"],
["8:7","καὶ","C- --------","καί"],
["8:7","πᾶς","A- ----NSM-","πᾶς"],
["8:7","χόρτος","N- ----NSM-","χόρτος"],
["8:7","χλωρὸς","A- ----NSM-","χλωρός"],
["8:7","κατεκάη.","V- 3API-S--","κατακαίω"],
["8:8","Καὶ","C- --------","καί"],
["8:8","ὁ","RA ----NSM-","ὁ"],
["8:8","δεύτερος","A- ----NSM-","δεύτερος"],
["8:8","ἄγγελος","N- ----NSM-","ἄγγελος"],
["8:8","ἐσάλπισεν·","V- 3AAI-S--","σαλπίζω"],
["8:8","καὶ","C- --------","καί"],
["8:8","ὡς","C- --------","ὡς"],
["8:8","ὄρος","N- ----NSN-","ὄρος"],
["8:8","μέγα","A- ----NSN-","μέγας"],
["8:8","⸀πυρὶ","N- ----DSN-","πῦρ"],
["8:8","καιόμενον","V- -PPPNSN-","καίω"],
["8:8","ἐβλήθη","V- 3API-S--","βάλλω"],
["8:8","εἰς","P- --------","εἰς"],
["8:8","τὴν","RA ----ASF-","ὁ"],
["8:8","θάλασσαν·","N- ----ASF-","θάλασσα"],
["8:8","καὶ","C- --------","καί"],
["8:8","ἐγένετο","V- 3AMI-S--","γίνομαι"],
["8:8","τὸ","RA ----NSN-","ὁ"],
["8:8","τρίτον","A- ----NSN-","τρίτος"],
["8:8","τῆς","RA ----GSF-","ὁ"],
["8:8","θαλάσσης","N- ----GSF-","θάλασσα"],
["8:8","αἷμα,","N- ----NSN-","αἷμα"],
["8:9","καὶ","C- --------","καί"],
["8:9","ἀπέθανε","V- 3AAI-S--","ἀποθνῄσκω"],
["8:9","τὸ","RA ----NSN-","ὁ"],
["8:9","τρίτον","A- ----NSN-","τρίτος"],
["8:9","⸀τῶν","RA ----GPN-","ὁ"],
["8:9","κτισμάτων","N- ----GPN-","κτίσμα"],
["8:9","τῶν","RA ----GPN-","ὁ"],
["8:9","ἐν","P- --------","ἐν"],
["8:9","τῇ","RA ----DSF-","ὁ"],
["8:9","θαλάσσῃ,","N- ----DSF-","θάλασσα"],
["8:9","τὰ","RA ----NPN-","ὁ"],
["8:9","ἔχοντα","V- -PAPNPN-","ἔχω"],
["8:9","ψυχάς,","N- ----APF-","ψυχή"],
["8:9","καὶ","C- --------","καί"],
["8:9","τὸ","RA ----NSN-","ὁ"],
["8:9","τρίτον","A- ----NSN-","τρίτος"],
["8:9","τῶν","RA ----GPN-","ὁ"],
["8:9","πλοίων","N- ----GPN-","πλοῖον"],
["8:9","⸀διεφθάρησαν.","V- 3API-P--","διαφθείρω"],
["8:10","Καὶ","C- --------","καί"],
["8:10","ὁ","RA ----NSM-","ὁ"],
["8:10","τρίτος","A- ----NSM-","τρίτος"],
["8:10","ἄγγελος","N- ----NSM-","ἄγγελος"],
["8:10","ἐσάλπισεν·","V- 3AAI-S--","σαλπίζω"],
["8:10","καὶ","C- --------","καί"],
["8:10","ἔπεσεν","V- 3AAI-S--","πίπτω"],
["8:10","ἐκ","P- --------","ἐκ"],
["8:10","τοῦ","RA ----GSM-","ὁ"],
["8:10","οὐρανοῦ","N- ----GSM-","οὐρανός"],
["8:10","ἀστὴρ","N- ----NSM-","ἀστήρ"],
["8:10","μέγας","A- ----NSM-","μέγας"],
["8:10","καιόμενος","V- -PPPNSM-","καίω"],
["8:10","ὡς","C- --------","ὡς"],
["8:10","λαμπάς,","N- ----NSF-","λαμπάς"],
["8:10","καὶ","C- --------","καί"],
["8:10","ἔπεσεν","V- 3AAI-S--","πίπτω"],
["8:10","ἐπὶ","P- --------","ἐπί"],
["8:10","τὸ","RA ----ASN-","ὁ"],
["8:10","τρίτον","A- ----ASN-","τρίτος"],
["8:10","τῶν","RA ----GPM-","ὁ"],
["8:10","ποταμῶν","N- ----GPM-","ποταμός"],
["8:10","καὶ","C- --------","καί"],
["8:10","ἐπὶ","P- --------","ἐπί"],
["8:10","τὰς","RA ----APF-","ὁ"],
["8:10","πηγὰς","N- ----APF-","πηγή"],
["8:10","τῶν","RA ----GPN-","ὁ"],
["8:10","ὑδάτων.","N- ----GPN-","ὕδωρ"],
["8:11","καὶ","C- --------","καί"],
["8:11","τὸ","RA ----NSN-","ὁ"],
["8:11","ὄνομα","N- ----NSN-","ὄνομα"],
["8:11","τοῦ","RA ----GSM-","ὁ"],
["8:11","ἀστέρος","N- ----GSM-","ἀστήρ"],
["8:11","λέγεται·","V- 3PPI-S--","λέγω"],
["8:11","⸀ὁ","RA ----NSM-","ὁ"],
["8:11","Ἄψινθος.","N- ----NSM-","Ἄψινθος"],
["8:11","καὶ","C- --------","καί"],
["8:11","ἐγένετο","V- 3AMI-S--","γίνομαι"],
["8:11","τὸ","RA ----NSN-","ὁ"],
["8:11","τρίτον","A- ----NSN-","τρίτος"],
["8:11","τῶν","RA ----GPN-","ὁ"],
["8:11","ὑδάτων","N- ----GPN-","ὕδωρ"],
["8:11","εἰς","P- --------","εἰς"],
["8:11","ἄψινθον,","N- ----ASF-","ἄψινθος"],
["8:11","καὶ","C- --------","καί"],
["8:11","πολλοὶ","A- ----NPM-","πολύς"],
["8:11","τῶν","RA ----GPM-","ὁ"],
["8:11","ἀνθρώπων","N- ----GPM-","ἄνθρωπος"],
["8:11","ἀπέθανον","V- 3AAI-P--","ἀποθνῄσκω"],
["8:11","ἐκ","P- --------","ἐκ"],
["8:11","τῶν","RA ----GPN-","ὁ"],
["8:11","ὑδάτων,","N- ----GPN-","ὕδωρ"],
["8:11","ὅτι","C- --------","ὅτι"],
["8:11","ἐπικράνθησαν.","V- 3API-P--","πικραίνω"],
["8:12","Καὶ","C- --------","καί"],
["8:12","ὁ","RA ----NSM-","ὁ"],
["8:12","τέταρτος","A- ----NSM-","τέταρτος"],
["8:12","ἄγγελος","N- ----NSM-","ἄγγελος"],
["8:12","ἐσάλπισεν·","V- 3AAI-S--","σαλπίζω"],
["8:12","καὶ","C- --------","καί"],
["8:12","ἐπλήγη","V- 3API-S--","πλήσσω"],
["8:12","τὸ","RA ----NSN-","ὁ"],
["8:12","τρίτον","A- ----NSN-","τρίτος"],
["8:12","τοῦ","RA ----GSM-","ὁ"],
["8:12","ἡλίου","N- ----GSM-","ἥλιος"],
["8:12","καὶ","C- --------","καί"],
["8:12","τὸ","RA ----NSN-","ὁ"],
["8:12","τρίτον","A- ----NSN-","τρίτος"],
["8:12","τῆς","RA ----GSF-","ὁ"],
["8:12","σελήνης","N- ----GSF-","σελήνη"],
["8:12","καὶ","C- --------","καί"],
["8:12","τὸ","RA ----NSN-","ὁ"],
["8:12","τρίτον","A- ----NSN-","τρίτος"],
["8:12","τῶν","RA ----GPM-","ὁ"],
["8:12","ἀστέρων,","N- ----GPM-","ἀστήρ"],
["8:12","ἵνα","C- --------","ἵνα"],
["8:12","σκοτισθῇ","V- 3APS-S--","σκοτίζομαι"],
["8:12","τὸ","RA ----NSN-","ὁ"],
["8:12","τρίτον","A- ----NSN-","τρίτος"],
["8:12","αὐτῶν","RP ----GPM-","αὐτός"],
["8:12","καὶ","C- --------","καί"],
["8:12","⸂ἡ","RA ----NSF-","ὁ"],
["8:12","ἡμέρα","N- ----NSF-","ἡμέρα"],
["8:12","μὴ","D- --------","μή"],
["8:12","φάνῃ","V- 3AAS-S--","φαίνω"],
["8:12","τὸ","RA ----NSN-","ὁ"],
["8:12","τρίτον","A- ----NSN-","τρίτος"],
["8:12","αὐτῆς⸃,","RP ----GSF-","αὐτός"],
["8:12","καὶ","C- --------","καί"],
["8:12","ἡ","RA ----NSF-","ὁ"],
["8:12","νὺξ","N- ----NSF-","νύξ"],
["8:12","ὁμοίως.","D- --------","ὁμοίως"],
["8:13","Καὶ","C- --------","καί"],
["8:13","εἶδον,","V- 1AAI-S--","ὁράω"],
["8:13","καὶ","C- --------","καί"],
["8:13","ἤκουσα","V- 1AAI-S--","ἀκούω"],
["8:13","ἑνὸς","A- ----GSM-","εἷς"],
["8:13","ἀετοῦ","N- ----GSM-","ἀετός"],
["8:13","πετομένου","V- -PMPGSM-","πέτομαι"],
["8:13","ἐν","P- --------","ἐν"],
["8:13","μεσουρανήματι","N- ----DSN-","μεσουράνημα"],
["8:13","λέγοντος","V- -PAPGSM-","λέγω"],
["8:13","φωνῇ","N- ----DSF-","φωνή"],
["8:13","μεγάλῃ·","A- ----DSF-","μέγας"],
["8:13","Οὐαὶ","X- --------","οὐαί"],
["8:13","οὐαὶ","X- --------","οὐαί"],
["8:13","οὐαὶ","X- --------","οὐαί"],
["8:13","⸂τοὺς","RA ----APM-","ὁ"],
["8:13","κατοικοῦντας⸃","V- -PAPAPM-","κατοικέω"],
["8:13","ἐπὶ","P- --------","ἐπί"],
["8:13","τῆς","RA ----GSF-","ὁ"],
["8:13","γῆς","N- ----GSF-","γῆ"],
["8:13","ἐκ","P- --------","ἐκ"],
["8:13","τῶν","RA ----GPF-","ὁ"],
["8:13","λοιπῶν","A- ----GPF-","λοιπός"],
["8:13","φωνῶν","N- ----GPF-","φωνή"],
["8:13","τῆς","RA ----GSF-","ὁ"],
["8:13","σάλπιγγος","N- ----GSF-","σάλπιγξ"],
["8:13","τῶν","RA ----GPM-","ὁ"],
["8:13","τριῶν","A- ----GPM-","τρεῖς"],
["8:13","ἀγγέλων","N- ----GPM-","ἄγγελος"],
["8:13","τῶν","RA ----GPM-","ὁ"],
["8:13","μελλόντων","V- -PAPGPM-","μέλλω"],
["8:13","σαλπίζειν.","V- -PAN----","σαλπίζω"],
["9:1","Καὶ","C- --------","καί"],
["9:1","ὁ","RA ----NSM-","ὁ"],
["9:1","πέμπτος","A- ----NSM-","πέμπτος"],
["9:1","ἄγγελος","N- ----NSM-","ἄγγελος"],
["9:1","ἐσάλπισεν·","V- 3AAI-S--","σαλπίζω"],
["9:1","καὶ","C- --------","καί"],
["9:1","εἶδον","V- 1AAI-S--","ὁράω"],
["9:1","ἀστέρα","N- ----ASM-","ἀστήρ"],
["9:1","ἐκ","P- --------","ἐκ"],
["9:1","τοῦ","RA ----GSM-","ὁ"],
["9:1","οὐρανοῦ","N- ----GSM-","οὐρανός"],
